topic,premise,claim,mace_ibm,hidden_reasoning_keyword,claim_keyword,premise_keyword
Compulsory voting,compulsory voting would help end voter fraud.,We should introduce compulsory voting,0.30708381100000000,ensures mandatory voting by all people that can,Compulsory voting,help end voter fraud
Compulsory voting,compulsory voting would help end voter fraud.,We should introduce compulsory voting,0.30708381100000000,gives a true representation of the number of people voting and will,Compulsory voting,help end voter fraud.
Compulsory voting,compulsory voting would help end voter fraud.,We should introduce compulsory voting,0.30708381100000000,proxies and absentee voting would be streamlined and foolproofed therefore,Voting should be compulsory,voter fraud would end.
Zoos,zoos take animals from their natural habitats for profit,We should abolish zoos,0.929201449,Would remove animals being confined to cages only for profit,Abolishment of zoos,take animals from their natural habitats for profit
Zoos,zoos take animals from their natural habitats for profit,We should abolish zoos,0.929201449,"Animals not moved to save them, but for human gain.",abolish zoos,taken from natural habits for profit
Zoos,zoos take animals from their natural habitats for profit,We should abolish zoos,0.929201449,should be enabled because an increase in stress and harm is done to animals when they,Abolishing zoos,take animals from their natural habits
Zoos,zoos take animals from their natural habitats for profit,We should abolish zoos,0.929201449,the diets of animals suffers when,Abolishing zoos,animals are removed from native habitats.
Zoos,we should abolish these zoos because animals did not ask to be captive and gawked at.,We should abolish zoos,0.088035888,Taking away the rights of animals is inhumane,Abolishment of zoos,animals did not ask to be captive and gawked at
Zoos,we should abolish these zoos because animals did not ask to be captive and gawked at.,We should abolish zoos,0.088035888,prevents a mental decline of these animals,Abolishing zoos,because animals did not ask to be captive and gawked at.
Zoos,we should abolish these zoos because animals did not ask to be captive and gawked at.,We should abolish zoos,0.088035888,would enable animal's rights to be enacted since,Abolishing zoos,animals did not ask to be captive
Zoos,we should abolish these zoos because animals did not ask to be captive and gawked at.,We should abolish zoos,0.088035888,"it's unfair to trap, snatch and cage wild beings immorally forcing",Abolish zoos,animals into cages.
Zoos,zoos keep animals in captivity and use them merely for show.,We should abolish zoos,0.5342087520000000,as there is no essential reason why these animals should be forced into,Abolish zoos,captivity and use them merely for show.
Zoos,zoos keep animals in captivity and use them merely for show.,We should abolish zoos,0.5342087520000000,would prevent the stunt of growth when zoos,Abolishing zoos,keep animals in captivity
Zoos,zoos keep animals in captivity and use them merely for show.,We should abolish zoos,0.5342087520000000,diseases sometimes mutate and jump to humans when,Zoos should be abolished,animals are kept captive.
Whaling,We should ban whaling because whales are part of our common natural heritage and we have a duty to preserve this patrimony for future generations.,We should ban whaling,0.725184059,will keep harmony in nature and it is our job to,Banning whaling,preserve this patrimony for future generations
Whaling,we must ban whaling are important animals in the marine ecosystem,We should ban whaling,0.054213207,"because whales provide at least half of the  oxygen you breathe, combat climate change, and sustain fish stocks making them",We should ban whaling,important animals in the marine ecosystem.
Whaling,we must ban whaling are important animals in the marine ecosystem,We should ban whaling,0.054213207,as whales serve an essential purpose in our oceans and,Ban whaling,are important animals in the marine ecosystem
Whaling,we must ban whaling are important animals in the marine ecosystem,We should ban whaling,0.054213207,will prevent the collapse of the natural order as whales are important to the,Banning whaling,marine ecosystem
Compulsory voting,We should introduce compulsory voting so nobody can complain if their candidates losing,We should introduce compulsory voting,0.031794453,eliminates people accusing officials of voter fraud for candidates they did not want voted into office and,Compulsory voting,nobody can complain if their candidates are losing
Compulsory voting,We should introduce compulsory voting so nobody can complain if their candidates losing,We should introduce compulsory voting,0.031794453,would ensure more accurate results,Introducing compulsory voting,so nobody can complain if their candidate loses
Compulsory voting,We should introduce compulsory voting so nobody can complain if their candidates losing,We should introduce compulsory voting,0.031794453,will allow people to be more content with elections as they know all people will vote and they will be less mad when,Introducing compulsory voting,candidates lose
Compulsory voting,"voting is an important part of making democracy work, and should be mandatory.",We should introduce compulsory voting,0.906198065,In order for democracy to work to its fullest extent everyone needs to go out and vote,Compulsory voting should be embraced,important part of making democracy work
Compulsory voting,"voting is an important part of making democracy work, and should be mandatory.",We should introduce compulsory voting,0.906198065,will prevent fraudulent voting and is crucial to,Compulsory voting,"making democracy work, and should be mandatory."
Compulsory voting,"voting is an important part of making democracy work, and should be mandatory.",We should introduce compulsory voting,0.906198065,would ensure people's voices are heard and represented and be an,Introducing compulsory voting,important part of making democracy work
Compulsory voting,"voting is an important part of making democracy work, and should be mandatory.",We should introduce compulsory voting,0.906198065,"all participants making decisions about who become their member of congress, interacting with them assures that those representatives",Voting should be required,make democracy work.
Compulsory voting,it would lead to governments better reflecting the public,We should introduce compulsory voting,0.009930509,will force people to express their political views through voting which will lead to,compulsory voting,governments better reflecting the public
Compulsory voting,it would lead to governments better reflecting the public,We should introduce compulsory voting,0.009930509,allows governments to know the true political ideas of its citizens and,Compulsory voting,would lead to governments better reflecting the public
Compulsory voting,it would lead to governments better reflecting the public,We should introduce compulsory voting,0.009930509,gives people power to choose who they want which,introducing compulsory voting,leads to governments better reflecting the public
Whaling,banning whaling is the most humane thing we can do to help.,We should ban whaling,0.974606726,could lead to possible extinction of whales so we should,Whaling,banning whaling because it is the most humane thing we can do to help.
Whaling,banning whaling is the most humane thing we can do to help.,We should ban whaling,0.974606726,Something needs to be done to protect the whales,Banning of whaling,the most humane thing we can do to help
Whaling,banning whaling is the most humane thing we can do to help.,We should ban whaling,0.974606726,as humans started cruelly killing whales thousands of years ago and it is up to humans to eliminate this horrible practice which,Ban whaling,is the most humane thing we can do to help.
Whaling,banning whaling is the most humane thing we can do to help.,We should ban whaling,0.974606726,because what needs help is their declining population. We need to stop killing them so there numbers can rise,Ban whaling,it is the most humane thing we can do to help.
Whaling,banning whaling is the most humane thing we can do to help.,We should ban whaling,0.974606726,bludgeoning and exploiting sentient animals is cruel thus,Whaling should be stopped,whaling is inhumane
Whaling,whaling is really bad for the environment and is cruel,We should ban whaling,0.8933812860000000,The environment is affected by whaling and is inhumane,Banning of whaling,bad for the environment and is cruel
Whaling,whaling is really bad for the environment and is cruel,We should ban whaling,0.8933812860000000,as we need our population of whale species to combat climate change and it is,Ban whaling,bad for the environment and is cruel
Whaling,whaling is really bad for the environment and is cruel,We should ban whaling,0.8933812860000000,prevents destruction to the ecosystem and extinction of other species which is,Banning whaling,bad for the environment
Whaling,whaling is really bad for the environment and is cruel,We should ban whaling,0.8933812860000000,"removing top large mammal affects all species that are fed upon by it,",Whaling should be banned,hurts the environment.
Whaling,whaling is unnecessary for human survival and endangers whales as a species.,We should ban whaling,0.957091491,stops the reduction of the population of whales which ultimately leads to,banning whaling,whale endangerment
Whaling,whaling is unnecessary for human survival and endangers whales as a species.,We should ban whaling,0.957091491,as it destroys the population of whales,Ban whaling,and endangers whales as a species.
Whaling,whaling is unnecessary for human survival and endangers whales as a species.,We should ban whaling,0.957091491,much of the materials used in whales are now available from cheaper and more viable sources,ban whaling,not needed for human survival
Whaling,whaling is unnecessary for human survival and endangers whales as a species.,We should ban whaling,0.957091491,"it kills even the most large and strong, best breeding specimens",We need to end whaling,endangering various whale species.
Compulsory voting,would increase voter turnout.  guarantees that everyone has a say.,We should introduce compulsory voting,0.153873481,means that everyone would have to vote which will,Compulsory voting,increase voter turnout
Compulsory voting,would increase voter turnout.  guarantees that everyone has a say.,We should introduce compulsory voting,0.153873481,Having all citizens have a say in the election would validate the results,Compulsory voting should be embraced,guarantees that everyone has a say
Compulsory voting,would increase voter turnout.  guarantees that everyone has a say.,We should introduce compulsory voting,0.153873481,Allows people who may not be willing or able to vote otherwise to be represented,Compulsory voting,everyone will have a say
Compulsory voting,would increase voter turnout.  guarantees that everyone has a say.,We should introduce compulsory voting,0.153873481,would enable governments to be more representative of the people due to,Introducing compulsory voting,increase voter turnout
Zoos,zoos keep animals trapped in sometimes dirty and inhumane conditions. they deserve to roam free in the wild,We should abolish zoos,0.937998712,stops the caging of animals so they are no longer,abolishing zoos,trapped in inhumane conditions
Zoos,zoos keep animals trapped in sometimes dirty and inhumane conditions. they deserve to roam free in the wild,We should abolish zoos,0.937998712,"would lead to healthier and happier animals because they would be free, where as",Abolishing zoos,zoos keep animals trapped in sometimes dirty and inhumane conditions.
Zoos,zoos keep animals trapped in sometimes dirty and inhumane conditions. they deserve to roam free in the wild,We should abolish zoos,0.937998712,would prevent animals from a shortened lifespans when,Abolishing zoos,zoos keep animals trapped
Zoos,zoos keep animals trapped in sometimes dirty and inhumane conditions. they deserve to roam free in the wild,We should abolish zoos,0.937998712,as it forces animals to live in their own waste where,Abolish zoos,animals are kept in dirty conditions.
Compulsory voting,the country is run by people who are selected by voters.  all people have a stake in the government so all should be required to vote and show their opinions.,We should introduce compulsory voting,0.6068651420000000,would allow all those who are effected by  by the governments decisions to be,Compulsory voting,required to vote and show their opinions.
Compulsory voting,the country is run by people who are selected by voters.  all people have a stake in the government so all should be required to vote and show their opinions.,We should introduce compulsory voting,0.6068651420000000,The more required to cast a vote would lead to more valid elections,Compulsory voting should be embraced,all should be required to vote and show their opinions
Compulsory voting,the country is run by people who are selected by voters.  all people have a stake in the government so all should be required to vote and show their opinions.,We should introduce compulsory voting,0.6068651420000000,motivates the public to take part in their political system to strengthen their democracy,Compulsory voting,so all should be required to vote and show their opinions.
Compulsory voting,the country is run by people who are selected by voters.  all people have a stake in the government so all should be required to vote and show their opinions.,We should introduce compulsory voting,0.6068651420000000,persons can give their opinion to select someone they prefer because,Voting should be required by law,all people have a stake.
Compulsory voting,the country is run by people who are selected by voters.  all people have a stake in the government so all should be required to vote and show their opinions.,We should introduce compulsory voting,0.6068651420000000,will force people to vote and exercise their political duty,Introducing compulsory voting,and show their opinions.
Compulsory voting,everyone should be required to vote to make sure that people who are elected are chosen by the majority.,We should introduce compulsory voting,0.971173204,Allows increased validity in elections,Compulsory voting should be embraced,make sure that people who are elected are chosen by the majority
Compulsory voting,everyone should be required to vote to make sure that people who are elected are chosen by the majority.,We should introduce compulsory voting,0.971173204,represents the opinions and ideas of every citizen and guarantees that the,Compulsory voting,people who are elected are chosen by the majority.
Compulsory voting,everyone should be required to vote to make sure that people who are elected are chosen by the majority.,We should introduce compulsory voting,0.971173204,Often only one segment of the population votes and they will have the same views so for a better cross section of ideas this ensures fairness,Compulsory voting should be implemented,Ensures people are elected by a majority
Compulsory voting,everyone should be required to vote to make sure that people who are elected are chosen by the majority.,We should introduce compulsory voting,0.971173204,would enable a more accurate voting system so the winner would be,Introducing compulsory voting,chosen by the majority
Compulsory voting,everyone should be required to vote to make sure that people who are elected are chosen by the majority.,We should introduce compulsory voting,0.971173204,"as it increases numbers and percentages of population, increasing the statistical odds that",Make voting compulsory,elections are selected and agreed on by a majority.
Compulsory voting,everyone would get a say in what happens if it was compulsory to vote.,We should introduce compulsory voting,0.16022145700000000,"gives all people the opportunity to understand the importance of voting, choosing candidates wisely and allows them",Compulsory voting,a say in what happens if it was compulsory to vote.
Compulsory voting,everyone would get a say in what happens if it was compulsory to vote.,We should introduce compulsory voting,0.16022145700000000,would enable a more representative government where,Introducing compulsory voting,everyone would get a say
Whaling,whaling is putting yet another animal at risk of extinction,We should ban whaling,0.168504773,"stops the population of whales from dropping due to being killed off, mitigating the",banning whaling,risk of extinction
Whaling,whaling is putting yet another animal at risk of extinction,We should ban whaling,0.168504773,as our oceans have unsustainable low levels of whale species and these animals are,Ban whaling,at risk of extinction
Whaling,whaling is putting yet another animal at risk of extinction,We should ban whaling,0.168504773,Many animals are already over hunted resulting in low numbers of wildlife and also it,Whaling,Puts the whales at risk of extinction
Whaling,whaling is putting yet another animal at risk of extinction,We should ban whaling,0.168504773,would prevent people from whaling which would lower whales',Banning whaling,risk of extinction.
Zoos,zoos are inhumane structures built to house animals away from their natural environment. zoos  should be abolished and animals returned to their natural homes where they can be free.,We should abolish zoos,0.904306156,as none of the profits from using these animals for human entertainment can justify captivity and by releasing these animals they can be,Abolish zoos,returned to their natural homes where they can be free.
Zoos,zoos are inhumane structures built to house animals away from their natural environment. zoos  should be abolished and animals returned to their natural homes where they can be free.,We should abolish zoos,0.904306156,moves animals back to the wild and takes them away from the,abolishing zoos,inhumane structures built to house animals away from their natural environment.
Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,0.931832391,stops revenue being generated by animals,Abolishing zoos,being kept in close spaces for people's entertainment
Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,0.931832391,to relief stress from the closed up animals,abolishing zoos,animals to be free to live in the natural habitats rather then being kept in close spaces for people's entertainment
Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,0.931832391,would enable animals to express and train their natural instincts when they are,Abolishing zoos,free to live in natural habitats
Zoos,animals should be free to live in the natural habitats rather then being kept in close spaces for people's entertainment,We should abolish zoos,0.931832391,they are not meant to be locked up and,Abolish zoos,they should be free to live as they do in nature
Whaling,you should not kill any living thing,We should ban whaling,0.0007684220000000000,"as it is cruel, unnecessary treatment of the animals and we",Ban whaling,should not kill any living thing.
Whaling,you should not kill any living thing,We should ban whaling,0.0007684220000000000,It is morally wring to take any type of life,ban whaling,should not kill any living things
Whaling,you should not kill any living thing,We should ban whaling,0.0007684220000000000,should be enforced because it is against some people's beliefs that they,Banning whaling,should not kill any living thing
Whaling,you should not kill any living thing,We should ban whaling,0.0007684220000000000,is a sinful act as it is wrong to,Banning whaling,kill any living thing
Compulsory voting,compulsory voting would ensure greater political activism among the public,We should introduce compulsory voting,0.969402848,"would make people actually have to research the candidates,",Compulsory voting,ensuring greater political activism among the public.
Compulsory voting,compulsory voting would ensure greater political activism among the public,We should introduce compulsory voting,0.969402848,Citizens will be more involved in elections,Compulsory voting should be embraced,ensure greater political activism among the public
Compulsory voting,compulsory voting would ensure greater political activism among the public,We should introduce compulsory voting,0.969402848,people get to choose who governs them which,introducing compulsory voting,ensures greater political activism among the public
Compulsory voting,compulsory voting would ensure greater political activism among the public,We should introduce compulsory voting,0.969402848,it would bring more interest and involvement in election process which encourages young people and others to advocate more fully then,voting should be compelled,More political activists will arise.
Compulsory voting,people should participate in democracy to ensure fairness in society.,We should introduce compulsory voting,0.19786756,is a necessity to keep our government strong and,Compulsory voting,to ensure fairness in society.
Compulsory voting,people should participate in democracy to ensure fairness in society.,We should introduce compulsory voting,0.19786756,would enable elected governments to be an accurate reflection of the population by,Introducing compulsory voting,ensuring fairness in society
Whaling,whaling is unnecessary for the betterment or survival of the human race and is only a hark back to past eras,We should ban whaling,0.04119467,causes excessive and barbaric killing of whales by whaling knife that is just,Whaling,a hark back to past eras
Whaling,whaling is unnecessary for the betterment or survival of the human race and is only a hark back to past eras,We should ban whaling,0.04119467,as it is an outdated cruel practice that has no positive benefit for the human race,Ban whaling,and is only a hark back to past eras
Compulsory voting,the number of people participating in voting across all elections has been steadily declining  year on year so we need compulsory voting to ensure representative elections,We should introduce compulsory voting,0.999767847,"forces more people to vote, which helps to",compulsory voting,ensure representative elections
Compulsory voting,the number of people participating in voting across all elections has been steadily declining  year on year so we need compulsory voting to ensure representative elections,We should introduce compulsory voting,0.999767847,Would allow for the reversal of the decreasing voting turnout,Compulsory voting should be embraced,participating in voting across all elections has been steadily declining year on year
Compulsory voting,the number of people participating in voting across all elections has been steadily declining  year on year so we need compulsory voting to ensure representative elections,We should introduce compulsory voting,0.999767847,prevents citizens apathy towards voting and,Compulsory voting,ensures representative elections
Compulsory voting,the number of people participating in voting across all elections has been steadily declining  year on year so we need compulsory voting to ensure representative elections,We should introduce compulsory voting,0.999767847,low turnout leads to challenges in election and in USA,Voting should be compulsory,Turnout is too low and is declining.
Zoos,caging animals is inhumane. they should be left to live their lives as naturally intended,We should abolish zoos,0.988955092,would cause animals be treated with respect and carry out their rights since,Abolishing zoos,caging animals is inhumane
Zoos,caging animals is inhumane. they should be left to live their lives as naturally intended,We should abolish zoos,0.988955092,will take them away from their natural habitat as,Abolishing zoos,caging animals is inhumane
Whaling,whaling is cruel and inhumane; it should be banned.,We should ban whaling,0.202644882,decreases the killing and torturing of whales which are,Ban whaling,cruel and inhumane
Whaling,whaling is cruel and inhumane; it should be banned.,We should ban whaling,0.202644882,as there are other alternative products for humans to use and killing of this species is not needed and,Ban whaling,it should be banned.
Whaling,whaling is cruel and inhumane; it should be banned.,We should ban whaling,0.202644882,would prevent the whales from suffering since most whaling methods do not offer instantaneous death and are considered to be,Banning whaling,cruel and inhumane
Whaling,has been proved that so many of whales has been in danger to dissappear and banning whaling is mandatory for human kind.,We should ban whaling,4.34E-05,helps save the ocean ecosystem which is,Ban whaling,mandatory for human kind
Whaling,has been proved that so many of whales has been in danger to dissappear and banning whaling is mandatory for human kind.,We should ban whaling,4.34E-05,would prevent the extinction and destruction of an ecosystem since,Banning whaling,whales have been in danger to disappear
Compulsory voting,compulsory voting would get everyone involved,We should introduce compulsory voting,0.146605543,will enable people to become interested and knowledgeable about politics and,Compulsory voting,would get everyone involved
Compulsory voting,compulsory voting would get everyone involved,We should introduce compulsory voting,0.146605543,would be a reflection of people's opinions and have a more representative government by,Introducing compulsory voting,getting everyone involved
Whaling,whaling should be banned because removing too many whales from the oceans would risk making them extinct.,We should ban whaling,0.77090108,"stops the killing of whales, helping to prevent",banning whaling,extinction
Whaling,whaling should be banned because removing too many whales from the oceans would risk making them extinct.,We should ban whaling,0.77090108,as we need this species for our ocean's ecosystem balance and whaling practices,Ban whaling,would risk making them extinct.
Whaling,whaling should be banned because removing too many whales from the oceans would risk making them extinct.,We should ban whaling,0.77090108,as it ends up killing off rare species causing a situation that,Whaling must be banned,whales might become extinct.
Compulsory voting,compulsory voting would mean our electorate would more represent our vales.,We should introduce compulsory voting,0.058100081,"causes more voters to turnout, resulting in an",compulsory voting,electorate more representative of voters' values
Compulsory voting,compulsory voting would mean our electorate would more represent our vales.,We should introduce compulsory voting,0.058100081,"leads to candidates that come from the people that are voting for them, so it",Compulsory voting,would mean our electorate would more represent our vales.
Compulsory voting,compulsory voting would mean our electorate would more represent our vales.,We should introduce compulsory voting,0.058100081,entitles people to have their opinions heard preventing a dictatorship and,Compulsory voting,our electorate would more represent our values.
Compulsory voting,compulsory voting would mean our electorate would more represent our vales.,We should introduce compulsory voting,0.058100081,Some types of people may be more prone not to vote,Compulsory voting,electorate would represent our values
Whaling,if is important that we should ban whaling for prosperity of world,We should ban whaling,0.000875294,as whales are more valuable alive for whale watching of tourists and,Ban whaling,we should ban whaling for prosperity of world
Whaling,if is important that we should ban whaling for prosperity of world,We should ban whaling,0.000875294,"We should ban whaling as a world to show good will as a whole unified world, therefore lifting the worlds prosperity up by doing good and working as one towards healing the planet.",Ban whaling,The prosperity of the world would be better if we banned whaling.
Whaling,if is important that we should ban whaling for prosperity of world,We should ban whaling,0.000875294,will prevent damage to the ecosystem which will ensure,Banning whaling,prosperity of world
Whaling,"without a ban on whaling, there is a risk that some species of whales, and maybe all species, will become endangered or even, possibly, extinct",We should ban whaling,0.841293932,Would allow for the whale population to recover from the hunting that they have endured,Banning of whaling,"will become endangered or even, possibly, extinct"
Whaling,"without a ban on whaling, there is a risk that some species of whales, and maybe all species, will become endangered or even, possibly, extinct",We should ban whaling,0.841293932,as the population of this species is declining and,Ban whaling,"will become endangered or even, possibly extinct"
Whaling,"without a ban on whaling, there is a risk that some species of whales, and maybe all species, will become endangered or even, possibly, extinct",We should ban whaling,0.841293932,rate of whales killed may exceed capability of sustaining population  through breeding.,ban whaling,species may become extinct
Whaling,"without a ban on whaling, there is a risk that some species of whales, and maybe all species, will become endangered or even, possibly, extinct",We should ban whaling,0.841293932,would prevent destruction of ecosystems which would effect the circle of life of many other species and plants due to whales,Abolishing whaling,"becoming endangered or even, possibly, extinct"
Whaling,whaling wipes out creatures who deserve to thrive in their own environment.,We should ban whaling,0.973696845,"and allow these creatures to freely breed, live unafraid as nature intended and",Ban whaling,who deserve to thrive in their own environment.
Whaling,whaling wipes out creatures who deserve to thrive in their own environment.,We should ban whaling,0.973696845,Whalers invade their territory and disrupt it.,ban whaling,deserve to thrive in their environment
Zoos,we should abolish zoos because it cages animals and they will never know what it like to be free.,We should abolish zoos,0.311096545,will stop denying freedom of animals and allow them to experience,Abolishing zoos,what it is like to be free.
Zoos,we should abolish zoos because it cages animals and they will never know what it like to be free.,We should abolish zoos,0.311096545,would prevent the reduction in animal instincts and their ability to express themselves when zoos,Abolishing zoos,cage animals
Zoos,we should abolish zoos because it cages animals and they will never know what it like to be free.,We should abolish zoos,0.311096545,animals suffer and have mental issues causing dangerous behaviours when,Abolish zoos,animals are in cages.
Whaling,we should ban whaling because it's disgusting practice to kill these beautiful creatures when it is totally unnecessary. we have enough options for food already.,We should ban whaling,0.996715869,as our whales are not needed for their meat as humans do not eat it and,Ban whaling,we have enough options for food already.
Whaling,we should ban whaling because it's disgusting practice to kill these beautiful creatures when it is totally unnecessary. we have enough options for food already.,We should ban whaling,0.996715869,Much of the uses for whales in the peak of hunting are easily replaceable with more plentiful resources,ban whaling,have enough options for food
Whaling,we should ban whaling because it's disgusting practice to kill these beautiful creatures when it is totally unnecessary. we have enough options for food already.,We should ban whaling,0.996715869,things that used to be made from Whale now are made with plants and,Whaling should be stopped,other options are easily available.
Zoos,keeping an animal confined for human entertainment purposes is immoral and degrading to the animal.,We should abolish zoos,0.950618293,There is nothing morally correct keeping animals in captivity,Abolishment of zoos,immoral and degrading to the animal
Zoos,keeping an animal confined for human entertainment purposes is immoral and degrading to the animal.,We should abolish zoos,0.950618293,Keeps and animal for selfish reasons and forces them to do things against their will,abolish zoos,immoral and degrading to the animal
Zoos,keeping an animal confined for human entertainment purposes is immoral and degrading to the animal.,We should abolish zoos,0.950618293,would allow the animals to be in their natural habitat instead of being,Abolishing zoos,confined for human entertainment
Zoos,keeping an animal confined for human entertainment purposes is immoral and degrading to the animal.,We should abolish zoos,0.950618293,"as some zoo keepers abuse animals, torturing them, and keeping them in tiny areas where",Abolish zoos,animals are degraded immorally.
Zoos,"zoos are cruel and do nott allow animals to live in the way they have evolved to do in the wild, causing problems and illnesses for them",We should abolish zoos,0.249048436,"would allow animals to have more freedom to grow and develop in nature, because zoos",Abolishing zoos,"do not allow animals to live in the way they have evolved to do in the wild, causing problems and illnesses for them"
Zoos,"zoos are cruel and do nott allow animals to live in the way they have evolved to do in the wild, causing problems and illnesses for them",We should abolish zoos,0.249048436,help protect animals from the people who are,abolishing zoos,"cruel and do not allow animals to live in the way they have evolved to do in the wild, causing problems and illnesses for them"
Zoos,"zoos are cruel and do nott allow animals to live in the way they have evolved to do in the wild, causing problems and illnesses for them",We should abolish zoos,0.249048436,enables animals have a better quality of life that they wouldn't have since zoos can,Abolishing zoos,cause problems and illnesses for them
Zoos,"zoos are cruel and do nott allow animals to live in the way they have evolved to do in the wild, causing problems and illnesses for them",We should abolish zoos,0.249048436,sometimes animals can't move and must interact with species they normally wouldn't encounter which,Abolishment of zoos,cause illness in the animals held there.
Whaling,whaling is inhumane and should be banned. there is no reason to kill whales when there are other resources that could be used in place of the whales. they are important sea animals that need to be protected.,We should ban whaling,0.942555655,There is no sense in hunting whales for their resources when we have other resources that are more sustainable,Banning of whaling,no reason to kill whales when there are other resources that could be used in place
Whaling,whaling is inhumane and should be banned. there is no reason to kill whales when there are other resources that could be used in place of the whales. they are important sea animals that need to be protected.,We should ban whaling,0.942555655,as this species need to fulfill its life purpose and,Ban whaling,they are important sea animals that need to be protected.
Whaling,whaling is inhumane and should be banned. there is no reason to kill whales when there are other resources that could be used in place of the whales. they are important sea animals that need to be protected.,We should ban whaling,0.942555655,there are plant made alternatives to all products that used to be made from whales while,Whaling should be banned,other things can be substituted for things whales are used for.
Whaling,"We should ban whaling because whales are keystone species in their ecosystems, whose decline is harmful to many other species as well.",We should ban whaling,0.999679612,enables excessive killing of whales  which causes,Whaling,decline in whale population and harm to many other species
Whaling,"We should ban whaling because whales are keystone species in their ecosystems, whose decline is harmful to many other species as well.",We should ban whaling,0.999679612,as it takes away from the oceans nutrients that whales supply and,Ban whaling,whose decline is harmful to many other species as well.
Whaling,"We should ban whaling because whales are keystone species in their ecosystems, whose decline is harmful to many other species as well.",We should ban whaling,0.999679612,"species eaten by whales will balloon, out of balance endangering ecosystem of oceans because",Whaling should be banned,whales decline makes other species decline.
Zoos,Zoos are a business built on imperialism and animal cruelty and should be closed down and the animals returned to their natural habitats,We should abolish zoos,0.945971332,"leads to the natural order of our planet, they need to be released",Abolishing zoos,and the animals returned to their natural habitats
Zoos,Zoos are a business built on imperialism and animal cruelty and should be closed down and the animals returned to their natural habitats,We should abolish zoos,0.945971332,"because animals held in them are caged, abused and housed in areas too small meaning",Abolish zoos,they are based on animal cruelty.
Compulsory voting,everyone has a say at who is voted in and who is voted out.,We should introduce compulsory voting,0.000276285,ensures mandatory voting by all people to choose their favorite candidate which results in,Compulsory voting,everyone having a say on the elected officials
Compulsory voting,everyone has a say at who is voted in and who is voted out.,We should introduce compulsory voting,0.000276285,will make a democracy equal as everyone will have a say,Compulsory voting,who is voted in and who is voted out.
Whaling,we should ban whaling because it will lead to the extinction of whales,We should ban whaling,0.908609609,will slow the killing of whales and prevent the,banning whaling,extinction of whales
Whaling,we should ban whaling because it will lead to the extinction of whales,We should ban whaling,0.908609609,as there is no need to kill these magnificent creatures and,Ban whaling,it will lead to the extinction of whales
Whaling,we should ban whaling because it will lead to the extinction of whales,We should ban whaling,0.908609609,"oceans, animals that need whales to survive, like some barnacles, and parasites will also suffer if",Whaling should be banned,whales become extinct.
Whaling,we should ban whaling because it will lead to the extinction of whales,We should ban whaling,0.908609609,will let whales help the natural ecosystem which whaling helps against as it can lead to the,Banning whaling,extinction of whales
Zoos,zoos are dangerous and not allowing animals to live in their natural environment.,We should abolish zoos,0.219974244,"eliminates the captivity of animals by humans, ending",abolishing zoos,animals disallowed from living in natural environment
